"","chg.vbp","chg.vab","chg.lab"
"S01.A",4320513.9038138,1868245.95312162,4139.58892063666
"S02.A",245787.44023491,164808.031129964,67.0463278840098
"S03.A",7240586.59996292,4225814.31373774,736.374492307038
"S04.A",7140486.80009786,2167185.79336773,1505.57341632122
"S05.A",164777.242266462,51252.9997775774,35.4540587654575
"S06.A",365249.136558102,123441.339573977,418.154672418028
"S07.A",419855.229294872,214735.548869902,605.277266503301
"S08.A",232899.253554591,74727.3575678564,317.981634913641
"S09.A",520160.784766939,259803.051341193,269.403405262592
"S10.A",570224.366014783,214640.216298778,129.689507220213
"S11.A",638372.456884151,290062.985637406,309.504674465801
"S12.A",1996545.35986139,281843.477733647,44.6231478687226
"S13.A",2725001.51697598,900506.883204412,538.170987082377
"S14.A",1013161.59530019,362197.205572619,471.307917369092
"S15.A",2646115.30523509,1217293.39226032,1102.29813159887
"S16.A",2445221.57554622,973913.04381999,332.844439985136
"S17.A",1080115.22050535,473997.60877782,816.208803471944
"S18.A",608589.49253368,226076.352166441,245.246030768565
"S19.A",13838.5136086554,5361.21643478481,7.24896073059176
"S20.A",385594.254148349,145430.580023096,181.633991039078
"S21.A",449598.162057862,69722.3424908146,96.4481005882407
"S22.A",47426.4564980716,23305.8962101073,34.2431769760354
"S23.A",1297795.48723006,317846.298806032,242.452169552634
"S24.A",83318.0787671768,37606.5278157222,90.0833366867832
"S25.A",515465.568212061,272427.976607626,843.72859986959
"S26.A",225732.714858107,122364.187929583,9.98275894837147
"S27.A",3239644.11790626,1203842.1064344,573.684108300314
"S28.A",21296404.2744406,11241025.9992094,32779.37708024
"S29.A",11746965.3519444,8291690.11965712,13547.9127129045
"S30.A",3094098.86952869,1138742.89178954,2619.20621490075
"S31.A",7811177.89278859,3008359.12480576,4616.95624605423
"S32.A",3418416.35819128,2017966.20023624,1200.32162080239
"S33.A",8447251.79614402,5961129.62271522,5557.3078215538
"S34.A",307977.053185053,221181.237832316,336.922521378874
"S35.A",0,0,0
"S36.A",1266793.62915642,793820.942682925,2904.67967674806
"S37.A",0,0,0
"S38.A",3636253.06420752,2239623.94571659,3478.81109203916
"S39.A",2626334.00198868,1454471.75721556,4138.81062319906
"S40.A",411149.618524119,411149.618524119,7069.29150962848
"TOTAL",104694898.542793,53067614.147096,92413.8501569836
